北京菜,老北京炸酱面
自助餐,邯丽轩烤肉超市(魏县店)
自助餐,汉釜宫韩式自助烤肉(魏县店)
自助餐,邯丽轩烤肉超市
面包甜点,抹茶炒酸奶（魏县店）
面包甜点,Green炒酸奶
面包甜点,维明炒酸奶
面包甜点,幸福鸟(魏县三店)
面包甜点,魏县法式面包
面包甜点,优优蛋糕
面包甜点,味来蛋糕
面包甜点,幸福鸟(魏县二店)
面包甜点,利源蛋糕
面包甜点,约会吧
面包甜点,鸿利来蛋糕店
面包甜点,菠萝蜜冷饮店
面包甜点,优优蛋糕
面包甜点,幸福鸟(魏县一店)
面包甜点,吾饮良品(魏县店)
面包甜点,吾饮良品(魏县水城广场店)
面包甜点,伊利格蛋糕世界
面包甜点,樱花蛋糕房
面包甜点,菠萝蜜茶饮
面包甜点,幸福蛋糕
面包甜点,集上奶茶店
面包甜点,幸福鸟(三角公园店)
面包甜点,天天鲜蛋糕房
面包甜点,法式面包
面包甜点,甜蜜屋 蛋糕店
面包甜点,脆皮蛋糕店
面包甜点,光明乳业(魏县奶站)
面包甜点,"鸿利来蛋糕(,二店)"
面包甜点,鸿利来蛋糕连锁
面包甜点,酷比客
面包甜点,酷比客
茶馆,抹茶炒酸奶（魏县店）
茶馆,思茗茶苑
茶馆,约会吧
咖啡厅,上岛咖啡(小吃一条街店)
咖啡厅,菠萝蜜茶饮
咖啡厅,私家小吧
其他,二海
其他,钓鱼岛饭店
其他,沙口集乡朱氏小磨香油坊
其他,农家乐土菜馆
其他,轰炸大鱿鱼
其他,魏县大锅菜
其他,独一处肉饼
其他,汉堡快餐
其他,龙源海鲜
其他,重庆鸡公煲
其他,阳光美食城
其他,鑫旺饭店
其他,申家饸饹馆
其他,鼎鲜羊中鸡
其他,怡和祥饭庄
其他,福满楼酒店
其他,隆祥阁
其他,正阳楼饭店
其他,重庆鸡公煲
其他,福祥大锅菜
其他,私家菜馆
其他,金鑫饭店
其他,旺知林饭庄
其他,白云轩饭店
其他,南关章平饭店
其他,中兴饭庄
其他,勤政食府
其他,天鹅食府
其他,华成食府
其他,大名羊肉馆
其他,公园饭店
其他,海峰饭店
其他,天天鲜食府
其他,希尔顿酒家
其他,金圆饭店
其他,天天来饭店
其他,顺利饭店
其他,天源食府
其他,中兴饭庄
其他,勤政食府
其他,天鹅食府
其他,华成食府
其他,大名羊肉馆
