北京菜,鹏芹小吃
快餐简餐,清苑县巴朗雪冰激凌冷饮店
快餐简餐,德克士快餐
快餐简餐,金海湾美食香
快餐简餐,香缇小厨
快餐简餐,瑞合祥一品排骨
快餐简餐,大家品味餐厅
快餐简餐,快活林餐厅
快餐简餐,味道蛋糕坊
快餐简餐,华莱士
快餐简餐,绿园餐厅
快餐简餐,东北沟帮子熟食城
快餐简餐,美味汉堡
快餐简餐,碰碰凉(清苑店)
快餐简餐,冀中风味餐馆
快餐简餐,咿呀米dffsdsfsdd
快餐简餐,天天秒杀
快餐简餐,水厂对面云南过桥米线
快餐简餐,聚友烧烤涮
快餐简餐,好再来驴肉火烧铺
快餐简餐,童年怀旧餐厅
快餐简餐,华莱士
快餐简餐,漕河驴肉火烧铺
快餐简餐,益民小吃
快餐简餐,合子粥屋
快餐简餐,清花小厨
快餐简餐,大槐树百年驴肉老店
快餐简餐,家乐餐厅
快餐简餐,大众包子
快餐简餐,汉堡
快餐简餐,鑫源饭店
快餐简餐,清心阁粥屋
快餐简餐,宏利餐厅
快餐简餐,博士园小饭桌
快餐简餐,香港九龙包子王
快餐简餐,宏军驴肉火烧铺
快餐简餐,吉祥小吃
快餐简餐,香驴坊(清苑店)
快餐简餐,兴苑烧烤翅
快餐简餐,东石桥火烧铺
快餐简餐,金龙包子铺
快餐简餐,润福园小吃
快餐简餐,大槐树百年驴肉老店
快餐简餐,聚香小吃
快餐简餐,玖玖烤吧
快餐简餐,老婆饺子馆
快餐简餐,尚品小厨
快餐简餐,溢香阁
快餐简餐,建民餐厅
快餐简餐,顺丰小吃
快餐简餐,食香园
快餐简餐,疯狂烧烤
快餐简餐,好运来饭店
快餐简餐,红茶party主题餐厅
快餐简餐,新华餐厅
快餐简餐,宴君餐馆
快餐简餐,洪盼餐馆
快餐简餐,砂锅居
快餐简餐,印象江南
快餐简餐,东北老贺特味烧烤
快餐简餐,步步高饺子
快餐简餐,四季顺餐馆
快餐简餐,利华砂锅居
快餐简餐,四季春饺子坊
快餐简餐,大众包子王
快餐简餐,瀛香阁(清苑旗舰店)
快餐简餐,赵家驴肉火烧
快餐简餐,百福顺饺子馆
快餐简餐,骨里香熟食城
快餐简餐,燕风饭店
快餐简餐,众鑫快餐厅
快餐简餐,尚品小厨
快餐简餐,同心阁
快餐简餐,四鲜饺子馆
快餐简餐,鑫旺餐厅
快餐简餐,尚品小厨
快餐简餐,同心阁
烧烤,乐品自助
烧烤,金鸽坊
烧烤,牛啤坊自酿鲜啤酒
烧烤,鑫德利烧烤店
烧烤,闫家烤涮
烧烤,闫记涮烤
烧烤,兄弟锅台院
烧烤,燊记涮烤小木屋
烧烤,鑫德利烧烤店
韩国料理,无穷花烤肉(清苑店)
西餐,德克士（清苑店）
西餐,哈萨里意大利海螺比萨
西餐,汉堡
自助餐,千百度自助烤肉店(清苑店)
自助餐,小嘿自助餐厅
面包甜点,百喜园西饼屋(新华街店)
面包甜点,百喜园西饼屋（冉庄店）
面包甜点,杜斯惟特西饼屋(清苑店)
面包甜点,百喜园西饼屋(付家营店)
面包甜点,稻香村(清苑店)
面包甜点,百喜园西饼屋（阳城店）
面包甜点,百喜园西饼屋(客都超市店)
面包甜点,百喜园西饼屋(西顾庄店)
面包甜点,百喜园西饼屋（大魏庄店）
面包甜点,百喜园西饼屋(金穗小区店)
面包甜点,欢乐买西饼屋
面包甜点,军威饼屋
面包甜点,爱拉屋面饼
面包甜点,呱呱叫冰淇淋
面包甜点,阿彪饼家
面包甜点,宏瑞祥蛋糕房
面包甜点,果然爱
面包甜点,老地方
面包甜点,阳光冰岛
面包甜点,阿彪饼家(迎宾街店)
面包甜点,蜜语甜品店
面包甜点,美食美客酸奶吧
面包甜点,福贵人西饼屋
面包甜点,杜斯惟特西饼屋
面包甜点,麦香小店
面包甜点,艾佳甜品(艾佳甜品二市场店)
面包甜点,豆丁甜点
面包甜点,金苹果生日蛋糕房
面包甜点,百喜园蛋糕店
面包甜点,皇冠蛋糕店
面包甜点,牛奶梦工场
面包甜点,MissMilk
面包甜点,萍萍蛋糕店
面包甜点,朋月食品奶糕店
面包甜点,冷饮批发
面包甜点,颖慧冷饮批发
面包甜点,艾鲜鲜奶吧
面包甜点,爱忆浓甜品
面包甜点,港之恋蛋糕
面包甜点,豆丁甜点
面包甜点,玉香斋西饼屋
面包甜点,军成饼屋
面包甜点,朝凡冷饮
面包甜点,巴朗雪冰淇凌冷饮店
面包甜点,missmilk
面包甜点,龙卷风冰饮吧
面包甜点,好圈圈甜品屋
面包甜点,顺鑫饼屋
面包甜点,口口香西饼屋
面包甜点,碰碰凉(清苑幸福路店)
茶馆,尔雨茶煮·时尚茶餐厅
茶馆,润友茶艺
茶馆,宏源茶
茶馆,云水茶艺
茶馆,友家茶社
茶馆,茗馨阁茶艺
茶馆,峻兰茶坊
咖啡厅,漫时光
咖啡厅,梦圆格
酒吧,漫时光
酒吧,漫时光咖啡主题酒吧
其他,茉莉时尚创意餐厅
其他,1号车站
其他,木子园
其他,瓦罐香沸营养快餐
其他,燕南饭店
其他,兴华饭店
其他,山里人炒鸡店
其他,田园牧鸽
其他,刘家大院
其他,光头强民间菜
其他,思味鲜千品楼
其他,老作坊
其他,李家小厨
其他,大宋醉仙鸭
其他,爱尚鲜奶吧
其他,更新楼饭庄
其他,77号老味道菜馆
其他,山里人炒鸡店
其他,辣椒炒肉
其他,焱香阁
其他,大厨记饭店
其他,奇芳阁
其他,聚德园饭店
其他,鱼香楼
其他,昌鸿饭店
其他,福隆阁
其他,食为天饭店
其他,众鑫杂碎馆
其他,顺合园
其他,正百味饭庄
其他,夜宴公馆
其他,清苑印象主题餐厅
其他,点香
其他,天立来食府
其他,民天饭店
其他,清福居
其他,宏达饭店
其他,红鑫阁
其他,老作坊(家宴店)
其他,康琳饭店
其他,凤麟饭店
其他,六子菜馆
其他,恒通酒楼
其他,月芳斋杂碎汤
其他,康乐园饭店
其他,慧雅阁家常菜馆
其他,迎宾菜馆
其他,桥南居
