素食,金發爆米香
台湾菜,豆浆嫂早餐店
台湾菜,台南花枝羹
台湾菜,良宾食堂
台湾菜,寻秘桑田
台湾菜,小天椒香辣卤味
台湾菜,巧园餐饮
台湾菜,延平砂锅鱼头
台湾菜,吉品牛肉汤
台湾菜,羽锋庭园民宿
台湾菜,东东快炒
台湾菜,纭枫烤肉刈包
台湾菜,正味东山鸭头
台湾菜,永康树屋冰饮店
台湾菜,奇饭团
台湾菜,东山鸭头(黄鸭子店)
台湾菜,城边真味炒鳝鱼专家
台湾菜,广田小馆
台湾菜,美美小吃
台湾菜,黄记肉圆
台湾菜,呷义 义大利面馆
台湾菜,米菓厨房
台湾菜,猪董腿库饭
台湾菜,爱丽丝义式小厨
台湾菜,知点新时尚料理餐厅
台湾菜,拼图空间
台湾菜,蓁姐现炒
台湾菜,南门小馆
台湾菜,台湾大厨 宴会式场
台湾菜,熊大卤味
台湾菜,永安高尔夫乡村渡假俱乐部
台湾菜,好呷云林鹅肉
台湾菜,朵萝义式餐厅
台湾菜,小蘑菇 创意厨房 养生便当
台湾菜,三川汤包
台湾菜,阿丰现炒外烩
台湾菜,平交道义面坊
台湾菜,桥头猪血汤土豆猪脚
台湾菜,伦敦玫瑰(府连店)
台湾菜,lucca路可义风厨房
台湾菜,乔义思窑烤手作厨房
台湾菜,两个太阳咖啡轻食意大利面
台湾菜,锦霞楼
台湾菜,villa bella
台湾菜,阳光大道义法料理餐厅
台湾菜,艾玛尼咖啡食尚馆
台湾菜,ciao bella ristorante italiano
台湾菜,亚米亚米欧风餐坊
台湾菜,什么义式 volare pasta
台湾菜,春上座花园餐厅/可乐那花园ktv
台湾菜,必蓝轻食坊
台湾菜,吃好好吃意大利餐厅
台湾菜,阿国鹅肉新市店
台湾菜,鼎味创意食尚
台湾菜,梅凤饮食店
台湾菜,nu pasta(台南佳里光复店)
台湾菜,5号树屋
台湾菜,GARYBEE69
台湾菜,阿兴168熏茶鹅
台湾菜,草山308高地土鸡城
台湾菜,玻璃屋生活餐饮
台湾菜,鹅家庄鹅肉美食馆
台湾菜,翰林缘蔬食餐厅
台湾菜,家传古早味复合餐饮
台湾菜,华味香鸭肉羹
台湾菜,金帝元姜母鸭
台湾菜,蓝码虱目鱼料理
台湾菜,蓝晒图餐饮
台湾菜,梅岭梅子鸡本铺
台湾菜,南瓜养生素
台湾菜,青龙山土鸡城
台湾菜,双猫餐饮店
台湾菜,田妈妈下营鹅肉美食店
台湾菜,味沙铁板烧复合餐饮
台湾菜,伍角船板阿香的家
台湾菜,新龙庄土鸡城
台湾菜,新感受餐饮
台湾菜,御膳房
台湾菜,南元花园休闲农场
台湾菜,石精臼担仔面
台湾菜,鸡排
台湾菜,go义式义大利面
台湾菜,宪忠师素食养生餐点
台湾菜,庄园家飨工坊
台湾菜,帝一嘉海鲜楼
台湾菜,荷田窑烤披萨
台湾菜,烤事苑餐馆
台湾菜,黎巴嫩玫瑰
台湾菜,东区焦糖炼乳包心粉圆
台湾菜,台湾铁路便当(公园站)
台湾菜,台湾味药炖瓮汤
台湾菜,卡斯卡尼意大利面专卖店(林森店)
台湾菜,老婆的菜(台南崇明店)
台湾菜,茄波俐 kitchen
台湾菜,relax.brunch 轻松点早午餐
台湾菜,小太阳意大利面(东宁店)
台湾菜,bellini pasta pasta(台南梦时代店)
台湾菜,义式意适
台湾菜,曾家兄弟卤味
台湾菜,D.D.HOUSE
台湾菜,宏龙土鸡城
台湾菜,顺天肉燥饭
台湾菜,乡村餐饮屋
台湾菜,石精臼肉燥饭
台湾菜,NU PASTA(永康中山南店)
台湾菜,ㄧ亩田欧风小馆
台湾菜,简单餐饮
台湾菜,卤坊
台湾菜,津记卤味
台湾菜,灶咖
台湾菜,BB 欧式餐厅
台湾菜,Dian Pasta
台湾菜,吉食馆
台湾菜,Smile酱卤味
台湾菜,奶浓意大利面厨房
台湾菜,钟家姜母鸭
台湾菜,熊馔热炒
台湾菜,卤大王麻辣烫
台湾菜,龙龙来肉粽、刮包
台湾菜,肯库花园
台湾菜,Family Kitchen 亲子餐厅?义式料理
台湾菜,义式屋古拉爵
台湾菜,郁雯饭店
台湾菜,文贤米糕
台湾菜,遇见幸福 异国创意料理
台湾菜,美浓客家菜
台湾菜,56餐馆
台湾菜,东亚楼饭店
台湾菜,东林鮢过鱼汤/肉燥饭/虾仁饭
台湾菜,东茂餐厅
台湾菜,仁弘宴席
台湾菜,乡土味露天庭园海鲜烧烤
台湾菜,佳里食堂
台湾菜,可口小吃店
台湾菜,天品小馆
台湾菜,太山梅子鸡
台湾菜,好地方虾仁饭
台湾菜,孙园(台南诚品)
台湾菜,学甲鹅肉
台湾菜,家嚐便饭
台湾菜,山景土鸡城
台湾菜,山之内土鸡城
台湾菜,岭景土鸡城
台湾菜,庄脚所在餐饮店
台湾菜,府城山寨鸡
台湾菜,扁食赤家
台湾菜,福来仔灶脚食坊(台南西门店)
台湾菜,福气鸡肉饭
台湾菜,童颂舜台菜料理
台湾菜,羊肉摊 LAMB
台湾菜,草山308高地土鸡城
台湾菜,莲昭巷土鸡庄
台湾菜,菜香小厨家常菜
台湾菜,蚵灰窑美食馆
台湾菜,许记养生羊肉
台湾菜,郭妈妈臭豆腐
台湾菜,运达利餐厅
台湾菜,郭巧味牛肉汤
台湾菜,醉月轩
台湾菜,金波私房菜
台湾菜,金园满汉餐厅(代表号)
台湾菜,金馔热炒烧烤料理
台湾菜,阿宏自助餐
台湾菜,阿铁炒鱔鱼
台湾菜,青草地快炒
台湾菜,香兰小吃部
台湾菜,面成同凉面(东平路分店)
台湾菜,鸭母寮
台湾菜,黑美人肉燥饭
台湾菜,热点义式餐馆
台湾菜,老爷行旅甘粹餐厅
台湾菜,l'angolino 安格里诺欧式乡村
台湾菜,枣枣date
台湾菜,angioletto's 安捷莉朵
台湾菜,故乡花雕鸡
台湾菜,thinking食下有约
台湾菜,玛乔立美味厨房
台湾菜,漫步餐坊
台湾菜,蘑菇西餐厅
台湾菜,食尚煮义
台湾菜,阿铁鳝鱼意面
川菜,渝苑川菜餐厅
川菜,如意楼川菜海鲜
川菜,欢喜楼餐厅
川菜,上海食尚川沪料理
川菜,巴人川味
川菜,枫林小馆(台南)
川菜,四季小馆
川菜,省都川菜海鲜餐厅
川菜,重庆小四川
川菜,居味馆
川菜,诸葛烤鱼
川菜,荣星川菜餐厅
川菜,荣星川菜餐厅
川菜,重庆现炒牛肉干丝
川菜,巴人川味
川菜,全家乐川菜小馆
川菜,凤凰寨
川菜,凯丰川菜小馆
川菜,宝师傅
川菜,家福川菜馆
川菜,富味川菜
川菜,宝师傅川菜小馆
川菜,小辣椒家常小炒
川菜,成都现炒小馆
川菜,欣雅川菜馆
川菜,第一品川菜小馆
川菜,顺发土鸡园秋园川菜馆
咖啡厅,正兴咖啡馆
咖啡厅,窄门咖啡馆
咖啡厅,Z甘单咖啡馆kn
咖啡厅,文青好好笑
咖啡厅,IZZY CAFE
咖啡厅,台南大饭店
咖啡厅,随光呼吸
咖啡厅,La Moda风尚庭园咖啡厅
咖啡厅,觅秘咖啡
咖啡厅,异人馆无国界料理(新营店)
咖啡厅,温暖生活咖啡屋
咖啡厅,好挤咖啡
咖啡厅,小说咖啡
咖啡厅,a Room 房间
咖啡厅,薄荷糖
咖啡厅,树有风
咖啡厅,鱼羊鲜豆(东丰总店)
咖啡厅,B.O.A Breakfast of America
咖啡厅,席玛朵咖啡烘培栈
咖啡厅,Noi Caffe
咖啡厅,Coffee Maker
咖啡厅,两俩
咖啡厅,Room A
咖啡厅,星巴克
咖啡厅,伊莉的店
咖啡厅,鹿角枝咖啡
咖啡厅,伯龙坊
咖啡厅,东兴洋行
咖啡厅,麻布厨房
咖啡厅,烹书文学料理
咖啡厅,62艺廊咖啡馆
咖啡厅,Donutes Coffee 　
咖啡厅,Ici Cafe
咖啡厅,台南艾咖啡
咖啡厅,再斗侍咖啡
咖啡厅,异人馆咖啡部屋(中华店)
咖啡厅,黑早咖啡
咖啡厅,橘子色咖啡
咖啡厅,梨子咖啡馆
咖啡厅,WEST TOWN CAFE
咖啡厅,新葡苑(新光三越)
咖啡厅,异人馆无国界料理(盐行店)
咖啡厅,蒂儿咖啡
咖啡厅,平平安安简餐店
咖啡厅,赤崁楼担仔面(永华店)
咖啡厅,鲨鱼咬吐司
咖啡厅,星巴克(台南门市)
咖啡厅,O2 Brunch & cafe(永康中华店)
咖啡厅,Lily小厨
咖啡厅,玛哩咖啡
咖啡厅,紫米玫瑰健康时尚馆
咖啡厅,异人馆(台南裕平店)
咖啡厅,普罗旺斯
咖啡厅,窝树林
咖啡厅,星巴克(南台门市)
咖啡厅,巴诺第欧风餐厅
咖啡厅,顺风号
咖啡厅,努可咖啡
咖啡厅,杂想手记料理屋
咖啡厅,18号新概念复合式音乐啤酒屋
咖啡厅,奇美咖啡馆(成大店)
咖啡厅,星巴克(南远门市)
咖啡厅,V66轻食咖啡
咖啡厅,星巴克(公园门市)
咖啡厅,庭园早点
咖啡厅,YUM YUM
咖啡厅,Roast Cafe(海安店)
咖啡厅,查理理查
咖啡厅,地球咖啡
咖啡厅,毛铿咖啡馆
咖啡厅,岩顶咖啡
咖啡厅,柑园咖啡
咖啡厅,蜗牛咖啡 cafe mai mai
咖啡厅,地球咖啡烘焙美食(小北旗舰店)
咖啡厅,Café IsShoNi 一绪二
咖啡厅,海拔900米咖啡
咖啡厅,时空胶囊
咖啡厅,Quinny cafe & Lounge
咖啡厅,异人馆无国界料理(市府店)
咖啡厅,DORY
咖啡厅,逗点咖啡The Comma Café
咖啡厅,桔乐多创意茶饮连锁(成功总店)
咖啡厅,浮游咖啡
咖啡厅,里卡多海牙馆
咖啡厅,太妃公寓
咖啡厅,拌家家酒煮义
咖啡厅,满点Man Den！
咖啡厅,子曰咖啡
咖啡厅,梦东篱(庆中店)
咖啡厅,摩尔咖啡&联合漫画国(台南店)
咖啡厅,篮色鸭子
咖啡厅,明治屋餐厅
咖啡厅,21世纪风味馆(台南东山门市)
咖啡厅,olily cafe
咖啡厅,KAFFE@HOME我在家‧咖啡
咖啡厅,GABIE咖啡
咖啡厅,ORO咖啡屋
咖啡厅,Mr.wheat 小麦先生创意料理
咖啡厅,AMORE CAFFE'
咖啡厅,卡莫咖啡
咖啡厅,十八巷花园餐厅
咖啡厅,迦南水果店
咖啡厅,石榴园复合餐饮
咖啡厅,海岛风味馆
咖啡厅,星巴克(府荣门市)
咖啡厅,咖啡胡同
咖啡厅,山林事务所
咖啡厅,Maison Blanc白色驴子法式杂货咖啡店
咖啡厅,亚力斯
咖啡厅,水丽花宴日式庭园餐厅
咖啡厅,詹姆斯厨房
咖啡厅,CHEFFRESH(诚品台南店)
咖啡厅,小熊屋
咖啡厅,棻园cafe
咖啡厅,欧风馆餐厅
咖啡厅,树是餐厅
咖啡厅,左邻右舍中日式简餐店
咖啡厅,布朗趣 Brunch
咖啡厅,波哥(台南诚品店)
咖啡厅,猫门咖啡 Cafe' Moment
咖啡厅,甜在心咖啡
咖啡厅,太古101
咖啡厅,跳舞的羊
咖啡厅,O2 Brunch 欧图早午餐厨房(麻豆兴南店)
咖啡厅,香草花园
咖啡厅,L'avenue Cafe拉芙尼咖啡
咖啡厅,小璋碳烤轻食
咖啡厅,18巷花园香草艺术餐厅
咖啡厅,Tommy's Coffee
咖啡厅,坞门美食餐坊
咖啡厅,树是餐厅 FOOD COFFEE TEA
咖啡厅,Lightly Cafe'
咖啡厅,温德米尔咖啡烘培坊
咖啡厅,玛莎园
咖啡厅,珍珠工场
咖啡厅,伦敦唐宁街十号
咖啡厅,85度C咖啡蛋糕烘焙专卖店(台南北门店)
咖啡厅,绿色空间(原怡平店)
咖啡厅,统一星巴克(南科门市)
咖啡厅,微笑虎山艺文咖啡馆
咖啡厅,小地球咖啡轻食(永康中正店)
咖啡厅,福吉雅轻食堂
咖啡厅,斗牛士牛排卡门(台南市府店)
咖啡厅,桥上看书 bRidge+
咖啡厅,TAIKOO Cafe 太古咖啡
咖啡厅,小蕃茄泡沬红茶简餐
咖啡厅,Aria Café 艾俐亚音乐咖啡园
咖啡厅,Apt.slow 慢公寓
咖啡厅,134巷内的女巫
咖啡厅,星巴克(长荣门市)
咖啡厅,一本锅烧.盖饭.咖哩
咖啡厅,丛林厨房
咖啡厅,卖饮料
咖啡厅,南岛梦游
咖啡厅,喜得炭火烧三明治(科工店)
咖啡厅,壹咖啡(台南善化店)
咖啡厅,奇马司咖啡简餐
咖啡厅,小南简餐
咖啡厅,小唐简餐
咖啡厅,小洁时尚锅品
咖啡厅,尚格
咖啡厅,岩豆咖啡馆
咖啡厅,席玛朵珈琲烘焙栈
咖啡厅,幸福厨房
咖啡厅,异人馆无国界料理(庆中店)
咖啡厅,惬惬私隅轻食茶饮
咖啡厅,曲屋咖啡专卖店
咖啡厅,栗子咖啡
咖啡厅,森胜兴蛋糕咖啡
咖啡厅,比萨家族50元比萨焗烤专卖店(麻豆店)
咖啡厅,水岸人文休闲咖啡馆
咖啡厅,温室烘焙屋(市府店)
咖啡厅,潘奇堡 咖啡‧轻食
咖啡厅,玛琪哈朵咖啡
咖啡厅,珍珠工场(南工店)
咖啡厅,米尼咖啡馆
咖啡厅,自然主义复合式餐饮
咖啡厅,艺术转角
咖啡厅,苹果森林休闲餐饮
咖啡厅,麦多古堡童话音乐复合式餐厅
咖啡厅,2097 那豆咖啡
咖啡厅,3朵微笑
咖啡厅,Elvis艾维斯咖啡
咖啡厅,Do - Li BAKERY CAFE 多丽咖啡烘焙美食
咖啡厅,GA House Café
咖啡厅,Little Bear
咖啡厅,Season Café
咖啡厅,WIRE破屋
咖啡厅,masa loft
咖啡厅,纸上城市PaperTowns
咖啡厅,伍巷(海安总店)
咖啡厅,加比咖啡
咖啡厅,台南-CHADOR
咖啡厅,咖啡豆子
咖啡厅,响亮冰铺
咖啡厅,喀米亚
咖啡厅,四季春庭园餐厅
咖啡厅,够坏堂(「棒棒堂」餐厅)
咖啡厅,孚日广场
咖啡厅,安内咖啡
咖啡厅,小桔子(清年店)
咖啡厅,小泽的家咖啡简餐~原味生活咖啡简餐
咖啡厅,崁头山咖啡馆
咖啡厅,布拉格义大利面
咖啡厅,故事咖啡
咖啡厅,斗侍咖啡
咖啡厅,时光
咖啡厅,梦东篱(新馆)
咖啡厅,欧风馆
咖啡厅,珈琲是实
咖啡厅,翰林关东煮专卖店(台南新光新天地)
咖啡厅,菩提素养生素食馆
咖啡厅,街头印象(麻豆店)
咖啡厅,赏味亭
咖啡厅,阿卡贝拉咖啡
咖啡厅,集集咖啡美食馆(西门精致店)
咖啡厅,集集咖啡美食馆(永华店)
咖啡厅,香芝园西餐厅
咖啡厅,馥如坊咖啡-简餐-港式点心
咖啡厅,鱼羊鲜豆
咖啡厅,麦咖哩
咖啡厅,黑轮小马
咖啡厅,玉井禾丰园咖啡景观农庄
咖啡厅,137 Bookstore 咖啡馆
咖啡厅,BOG TEA ROOM
咖啡厅,D.D.BEAR
咖啡厅,Good day 轻食咖啡下午茶
咖啡厅,NEWS 227巷/台南店
咖啡厅,ORO(凯旋店)
咖啡厅,PIANO PIANO慢慢咖啡
咖啡厅,星巴克(东山门市)
咖啡厅,Secret cafe 秘境咖啡
咖啡厅,gmix
咖啡厅,一心美食育乐馆
咖啡厅,丹品咖啡
咖啡厅,丸子兄弟咖啡轻食
咖啡厅,猫语咖啡
咖啡厅,For Coffee为了咖啡
咖啡厅,鹿柴咖啡
咖啡厅,金矿咖啡(台南国宾门市)
咖啡厅,CT Life X 小日子
咖啡厅,日日咖啡
咖啡厅,哈本咖啡
咖啡厅,狐狸小屋
咖啡厅,La Bottega coffee
咖啡厅,Wait Cafe
咖啡厅,乔瓦尼咖啡 Giovanni Café
咖啡厅,Mini izzy cafe(西门店)
咖啡厅,时年珈琲
咖啡厅,三根扫帚
咖啡厅,亚堤咖啡
咖啡厅,宽心园(台南永华店)
咖啡厅,布老虎厨房
咖啡厅,斜塔复合式餐饮
咖啡厅,木铜咖啡屋
咖啡厅,森林花园(长荣新概念)
咖啡厅,活饮子茶饮连锁
咖啡厅,热情小子(新市旗舰店)
咖啡厅,绿帕克咖啡馆PAKE VIEW
咖啡厅,荷田美食生活馆
咖啡厅,谬思园
咖啡厅,辣味红风味馆
咖啡厅,靓咖哩(安平店)
咖啡厅,鼓豆咖啡 Great Bean Company
咖啡厅,Punko帕克咖啡馆
咖啡厅,咖啡基因
咖啡厅,铜板咖啡
咖啡厅,欧塔克手烘咖啡专卖
咖啡厅,沛里欧咖啡馆
咖啡厅,粉红窝台南店
咖啡厅,PS cafe brunch
咖啡厅,chokdee cafe
咖啡厅,囍思咖啡SHE'S cafe'
咖啡厅,金矿咖啡(永华店)
咖啡厅,禾丰园咖啡景观餐厅
咖啡厅,虫二咖啡
咖啡厅,3A烘焙美食
咖啡厅,866 咖啡专卖店
咖啡厅,CHEFFRESH
咖啡厅,WEST GATE
咖啡厅,欧集德士
咖啡厅,珈啡地图
咖啡厅,国境之南咖啡馆
咖啡厅,珈琲地图
咖啡厅,星巴克(湖美门市)
咖啡厅,玛汀妮芝咖啡专门店(台南店)
咖啡厅,馨生活咖啡简餐
咖啡厅,cama caf'e 现烘咖啡(台南西门店)
咖啡厅,水的咖啡简餐
咖啡厅,老家咖啡
咖啡厅,Déjà Vu似曾相识 旅店。咖啡馆
咖啡厅,六橙六生活餐饮
咖啡厅,屋守
咖啡厅,阿根廷牛排馆
咖啡厅,骆驼咖啡馆
咖啡厅,鬍子咖啡
咖啡厅,Caffe RITAZZA
咖啡厅,暖暖蛇咖啡馆 Café Flaneur /
咖啡厅,自然甜 锅烧/轻食专卖店
咖啡厅,绿色空间(怡平店)
咖啡厅,诚品NEWS Cafe(诚品书店台南店)
咖啡厅,合宜简餐
咖啡厅,阿巴多咖啡美食馆
咖啡厅,日夏咖啡 Hinatsu Cafe
咖啡厅,kaka coffee
咖啡厅,喜得炭火烧三明治(民生店)
咖啡厅,粉乐町
咖啡厅,Fat Cat Deli
咖啡厅,是吉咖啡
咖啡厅,星巴克(永华门市)
咖啡厅,星巴克(永福门市)
咖啡厅,巴哈迪印象甜品工房
咖啡厅,蓝色招潮谢
咖啡厅,魔豆义式咖啡吧(善化店)
咖啡厅,木屋庭园咖啡
咖啡厅,甘谷咖啡 Gongulu Coffee
咖啡厅,六杯咖啡
咖啡厅,le bottega caffe
咖啡厅,清心福全冷饮站复国二店
咖啡厅,慢活手作咖啡馆
咖啡厅,道南馆 自家烘培咖啡馆(台南店)
咖啡厅,玛莎园(masa)
咖啡厅,摩尔先生东山咖啡
咖啡厅,Cafe 58 / 咖啡伍捌
咖啡厅,三皇三家平价咖啡连锁(成大店)
咖啡厅,三皇三家(大湾店)
咖啡厅,三皇三家(海佃店)
咖啡厅,咖哩事典(金华店)
咖啡厅,七里香连锁茶咖馆
咖啡厅,三吉冷饮简餐店
咖啡厅,三冠复合式餐饮
咖啡厅,三皇三家(佳里店)
咖啡厅,三皇三家(中华店)
咖啡厅,三皇三家(台南新光三越门市)
