北京菜,于记香辣虾
火锅,杜家面馆
火锅,众昊自助
火锅,巴奴布祎火锅(磁县店)
火锅,筋头巴脑牛一锅
火锅,重庆鸡公煲，磁县店
火锅,鸿记煌三汁焖锅
火锅,六一八香辣虾
火锅,京富华肥丰火锅城
火锅,华人聚（磁州）
火锅,渔羊火锅
火锅,小羔羊火锅
火锅,袁一锅羊蝎子
火锅,重庆德庄火锅(磁县店)
火锅,重庆成渝火锅
火锅,滏源涮锅城
火锅,砂锅猪蹄
火锅,竹笋岗
火锅,张三东海串窜香小火锅
火锅,石记串串香小火锅城
火锅,陈记名吃啤酒鸭
火锅,红红火锅城
火锅,童子肥羊串串香涮串王
火锅,云南蒸汽石锅鱼
火锅,鑫三江火锅酒家
火锅,时尚火锅
火锅,草原尚之味烤鱼.涮肉
火锅,草原尚之味烤鱼.涮肉
火锅,重庆苏麻子火锅店
小吃面食,张小生包子(磁县店)
小吃面食,鱿侠客愤怒大鱿鱼
小吃面食,桥香缘过桥米线
小吃面食,江南木桶饭
小吃面食,鼓楼米线
小吃面食,二娃重庆小面
小吃面食,磁县胖嫂老店
小吃面食,泡芙新语
小吃面食,魔锅坊麻辣香锅
小吃面食,津津有味(磁州路店)
小吃面食,美国加州牛肉面大王
小吃面食,马三烩面
小吃面食,万福牛肉汤
小吃面食,张小生包子铺
小吃面食,牛百碗
小吃面食,磁县特色芝麻烧饼(文元店)
小吃面食,爱滋味
小吃面食,正宗大名二毛烧鸡(磁县店)
小吃面食,朝阳小吃城
小吃面食,晋味一根面
小吃面食,重庆面馆
小吃面食,糖记饮品
小吃面食,炒冰
小吃面食,香思缘正宗过桥米线
小吃面食,大众米线馆
小吃面食,麦好乐炸鸡
小吃面食,阿利茄汁面
小吃面食,磁州卤面
小吃面食,吉祥馄饨(二环店)
小吃面食,铁板烧
小吃面食,宫廷香酥牛肉饼
小吃面食,老台门汤包
小吃面食,炒酸奶
小吃面食,东坡削面
小吃面食,云南过桥米线
小吃面食,凉皮
小吃面食,鼎香面道
小吃面食,羊肉泡馍
小吃面食,秦镇米皮
小吃面食,兔兔小吃
小吃面食,疯狂烤翅
小吃面食,馄饨侯
小吃面食,钵钵鸡
小吃面食,竹笋岗
小吃面食,胖妮
小吃面食,老台门汤包
小吃面食,吉祥馄饨·面（晟达店）
小吃面食,哈萨里（磁县店）
小吃面食,水城别苑
小吃面食,赵王面业军生粮油
小吃面食,绝味黑鸭
小吃面食,赵王面业华德水产贸易部
小吃面食,牛肉丸子面
小吃面食,淮南牛肉汤
小吃面食,粉爱面
小吃面食,赵王面业九龙调料
小吃面食,赵王面业国平调料
小吃面食,赵王面业磁县三江粮油
小吃面食,商务套餐
小吃面食,云南大理寺过桥米线
小吃面食,鼓楼炒酸奶
小吃面食,福吉王面食村
新疆菜,东来顺饭庄
新疆菜,刘氏兄弟烧烤
快餐简餐,德克士(磁县中盛店)
快餐简餐,乐多士(杨仙庙店)
快餐简餐,吉祥馄饨(磁县店)
快餐简餐,德克士(磁县新赵都店)
快餐简餐,吉祥馄饨(安康店)
快餐简餐,讲究中式快餐
快餐简餐,焦先生时尚餐吧
快餐简餐,京畿道韩式快餐
快餐简餐,仁祥粥屋(友谊路店)
快餐简餐,冰岛之恋
快餐简餐,喜引力避风塘
快餐简餐,永和豆浆菏城店(慈菏店)
快餐简餐,一隅小站
快餐简餐,晋嫂削面
快餐简餐,元盛私家大厨
快餐简餐,爱情麻辣烫
快餐简餐,中盛美食广场
快餐简餐,华莱士
快餐简餐,小泉芝麻烧饼
快餐简餐,第一烧烤城
快餐简餐,蜀山烤全鱼
快餐简餐,老堂肉食店
快餐简餐,沁源餐厅(磁县店)
快餐简餐,和谐快餐
快餐简餐,欢欢美食馆
快餐简餐,六一八香辣虾
快餐简餐,德克士
快餐简餐,峰峰水饺大王
快餐简餐,康凯餐饮
快餐简餐,滏春快餐部
快餐简餐,往来顺烧烤店
快餐简餐,情谊餐厅
快餐简餐,东北大板(电厂销售点)
快餐简餐,老二大排档
快餐简餐,锦州烧烤
快餐简餐,邯郸机场职工餐厅
快餐简餐,刘氏烧烤
快餐简餐,安家水饺
快餐简餐,爱尚发丝
烧烤,磁县吧
烧烤,王记铁板烧烤(铁板鱿鱼)
烧烤,久品香特色海鲜烧烤
烧烤,小波烧烤广场
烧烤,红提庄园
烧烤,王记特色烧烤
烧烤,天天烧烤
日本料理,寿司
韩国料理,Y9韩风厨房
韩国料理,金三顺紫菜包饭(磁县店)
韩国料理,y9韩风厨房(磁县店)
韩国料理,石锅烤肉
韩国料理,京畿道
西餐,玛驰屋(磁县店)
西餐,帕拉拉巴西烤肉
西餐,布兰卡西餐厅
西餐,维客多欢乐茶餐厅
西餐,布兰卡西餐厅
西餐,玛驰屋西餐厅(磁县店)
西餐,新华大酒店
西餐,feast菲斯特西餐厅
西餐,哈萨里
自助餐,邯丽轩时尚自助烤肉
自助餐,比格自助比萨(磁县店)
自助餐,香漩涡回转自助火锅
自助餐,汉丽轩
自助餐,汉釜宫韩式自助烧烤
自助餐,邯丽轩烤肉超市
面包甜点,呱呱叫(中盛国贸店)
面包甜点,乐多士(二环路店)
面包甜点,香喷喷蛋糕大世界
面包甜点,乐多士(西门口店)
面包甜点,福克士
面包甜点,欢乐谷水吧(中盛国贸店)
面包甜点,熊妹妹的奶茶铺
面包甜点,糖记饮品
面包甜点,圣安娜
面包甜点,美心生日蛋糕
面包甜点,祝福蛋糕房
面包甜点,刘老师雪花酪
面包甜点,浓浓香蛋糕店
面包甜点,好莱屋蛋糕大王
面包甜点,天天美味蛋糕
面包甜点,香喷喷蛋糕大世界
面包甜点,天天鲜蛋糕房
面包甜点,维德姆
面包甜点,美福来蛋糕大世界(磁县店)
面包甜点,福乐多蛋糕
面包甜点,夏之宝雪花酪
面包甜点,夏之宝雪花酪
面包甜点,美味情缘蛋糕房
面包甜点,磁县商业局食品冷饮厂
面包甜点,贺记奶酪
面包甜点,吾饮良品(磁县店)
面包甜点,美利佳蛋糕店
面包甜点,missmilk酸奶吧
面包甜点,优优冷饮店
面包甜点,睿之家蛋糕房
面包甜点,牛牛鲜奶吧(北豆公村店)
面包甜点,美味情缘蛋糕房
面包甜点,纳鑫糖果批发
面包甜点,桃酥大王
面包甜点,研磨时光
面包甜点,美福来糕点大王
面包甜点,美心生日蛋糕
茶馆,江南春茶楼
茶馆,老街坊休闲茶馆
茶馆,永辉茶楼
茶馆,江南春茶庄(建设西路店)
茶馆,江南春茶庄(朝阳北大街店)
茶馆,逸香茶居
茶馆,佳茗茶庄
茶馆,人和居
茶馆,溪祥源茶庄
咖啡厅,研磨时光
咖啡厅,研磨时光
其他,富昌酒家
其他,光禄驴肉
其他,平安饭店（正宗湘菜）
其他,合成酒家
其他,炒酸奶
其他,金筷子
其他,龙虾海鲜城
其他,善待酒楼
其他,尝来麻辣烫
其他,晋味一根面
其他,礠丰私家菜
其他,炒酸奶
其他,台湾卤肉饭(中盛国贸店)
其他,金太阳海参馆
其他,张家驴肉
其他,宁宁酒家
其他,尝来麻辣烫
其他,开心麻辣烫(新赵都店)
其他,农家渔港
其他,锦亮食府
其他,王朝大酒店
其他,刁家五香鸡
其他,御景楼大酒店
其他,金秋酒家
其他,滏源楼
其他,邯舍八大锅农家菜
其他,煎饼卷大葱
其他,抹茶炒酸奶
其他,味道家常菜
其他,迎宾酒楼
其他,阜乐饭店
其他,银泉酒家
其他,清华苑
其他,万里缘渔家
其他,海鲜大排档
其他,滏桥酒家
其他,磁州酒家
其他,成香缘食府
其他,全羊居
